Count,Date,Hour,Month,Game.Day
14,2018-11-10,17,11,0
10,2018-11-10,18,11,0
16,2018-11-10,19,11,0
13,2018-11-10,20,11,0
8,2018-11-10,21,11,0
11,2018-11-10,22,11,0
10,2018-11-10,23,11,0
16,2018-11-17,12,11,1
26,2018-11-17,13,11,1
19,2018-11-17,14,11,1
20,2018-11-17,15,11,1
22,2018-11-17,16,11,1
14,2018-11-17,17,11,1
8,2018-11-17,18,11,1
14,2018-11-17,19,11,1
15,2018-11-17,20,11,1
13,2018-11-17,21,11,1
6,2018-11-17,22,11,1
22,2018-11-17,23,11,1
21,2018-11-24,12,11,0
21,2018-11-24,13,11,0
20,2018-11-24,14,11,0
15,2018-11-24,15,11,0
10,2018-11-24,16,11,0
16,2018-11-24,17,11,0
4,2018-11-24,18,11,0
10,2018-11-24,19,11,0
6,2018-11-24,20,11,0
10,2018-11-24,21,11,0
9,2018-11-24,22,11,0
13,2018-11-24,23,11,0
18,2018-12-01,12,12,0
11,2018-12-01,13,12,0
6,2018-12-01,14,12,0
21,2018-12-01,15,12,0
36,2018-12-01,16,12,0
36,2018-12-01,17,12,0
23,2018-12-01,18,12,0
14,2018-12-01,19,12,0
11,2018-12-01,20,12,0
13,2018-12-01,21,12,0
15,2018-12-01,22,12,0
16,2018-12-01,23,12,0
21,2018-12-08,12,12,0
28,2018-12-08,13,12,0
23,2018-12-08,14,12,0
15,2018-12-08,15,12,0
23,2018-12-08,16,12,0
16,2018-12-08,17,12,0
13,2018-12-08,18,12,0
24,2018-12-08,19,12,0
13,2018-12-08,20,12,0
16,2018-12-08,21,12,0
7,2018-12-08,22,12,0
12,2018-12-08,23,12,0
21,2018-12-15,12,12,0
18,2018-12-15,13,12,0
24,2018-12-15,14,12,0
19,2018-12-15,15,12,0
13,2018-12-15,16,12,0
20,2018-12-15,17,12,0
11,2018-12-15,18,12,0
18,2018-12-15,19,12,0
13,2018-12-15,20,12,0
6,2018-12-15,21,12,0
12,2018-12-15,22,12,0
9,2018-12-15,23,12,0
19,2018-12-22,12,12,0
18,2018-12-22,13,12,0
20,2018-12-22,14,12,0
20,2018-12-22,15,12,0
19,2018-12-22,16,12,0
11,2018-12-22,17,12,0
12,2018-12-22,18,12,0
10,2018-12-22,19,12,0
14,2018-12-22,20,12,0
6,2018-12-22,21,12,0
11,2018-12-22,22,12,0
7,2018-12-22,23,12,0
9,2018-12-29,12,12,0
14,2018-12-29,13,12,0
21,2018-12-29,14,12,0
14,2018-12-29,15,12,0
7,2018-12-29,16,12,0
7,2018-12-29,17,12,0
10,2018-12-29,18,12,0
19,2018-12-29,19,12,0
17,2018-12-29,20,12,0
13,2018-12-29,21,12,0
12,2018-12-29,22,12,0
9,2018-12-29,23,12,0
21,2019-09-07,12,9,1
23,2019-09-07,13,9,1
19,2019-09-07,14,9,1
27,2019-09-07,15,9,1
28,2019-09-07,16,9,1
27,2019-09-07,17,9,1
24,2019-09-07,18,9,1
24,2019-09-07,19,9,1
19,2019-09-07,20,9,1
17,2019-09-07,21,9,1
21,2019-09-07,22,9,1
19,2019-09-07,23,9,1
25,2019-09-14,12,9,0
16,2019-09-14,13,9,0
17,2019-09-14,14,9,0
25,2019-09-14,15,9,0
18,2019-09-14,16,9,0
11,2019-09-14,17,9,0
19,2019-09-14,18,9,0
12,2019-09-14,19,9,0
23,2019-09-14,20,9,0
8,2019-09-14,21,9,0
9,2019-09-14,22,9,0
11,2019-09-14,23,9,0
20,2019-09-21,12,9,1
19,2019-09-21,13,9,1
17,2019-09-21,14,9,1
36,2019-09-21,15,9,1
26,2019-09-21,16,9,1
24,2019-09-21,17,9,1
27,2019-09-21,18,9,1
26,2019-09-21,19,9,1
23,2019-09-21,20,9,1
25,2019-09-21,21,9,1
28,2019-09-21,22,9,1
27,2019-09-21,23,9,1
17,2019-09-28,12,9,0
20,2019-09-28,13,9,0
16,2019-09-28,14,9,0
13,2019-09-28,15,9,0
11,2019-09-28,16,9,0
8,2019-09-28,17,9,0
10,2019-09-28,18,9,0
18,2019-09-28,19,9,0
5,2019-09-28,20,9,0
12,2019-09-28,21,9,0
11,2019-09-28,22,9,0
11,2019-09-28,23,9,0
5,2019-10-05,12,10,0
22,2019-10-05,13,10,0
18,2019-10-05,14,10,0
13,2019-10-05,15,10,0
14,2019-10-05,16,10,0
14,2019-10-05,17,10,0
9,2019-10-05,18,10,0
18,2019-10-05,19,10,0
15,2019-10-05,20,10,0
12,2019-10-05,21,10,0
19,2019-10-05,22,10,0
17,2019-10-05,23,10,0
15,2019-10-12,12,10,0
21,2019-10-12,13,10,0
9,2019-10-12,14,10,0
16,2019-10-12,15,10,0
14,2019-10-12,16,10,0
6,2019-10-12,17,10,0
15,2019-10-12,18,10,0
7,2019-10-12,19,10,0
12,2019-10-12,20,10,0
16,2019-10-12,21,10,0
12,2019-10-12,22,10,0
8,2019-10-12,23,10,0
15,2019-10-19,12,10,1
28,2019-10-19,13,10,1
21,2019-10-19,14,10,1
19,2019-10-19,15,10,1
22,2019-10-19,16,10,1
17,2019-10-19,17,10,1
16,2019-10-19,18,10,1
28,2019-10-19,19,10,1
12,2019-10-19,20,10,1
13,2019-10-19,21,10,1
24,2019-10-19,22,10,1
24,2019-10-19,23,10,1
20,2019-10-26,12,10,0
24,2019-10-26,13,10,0
15,2019-10-26,14,10,0
17,2019-10-26,15,10,0
20,2019-10-26,16,10,0
18,2019-10-26,17,10,0
18,2019-10-26,18,10,0
21,2019-10-26,19,10,0
12,2019-10-26,20,10,0
17,2019-10-26,21,10,0
34,2019-10-26,22,10,0
18,2019-10-26,23,10,0
19,2019-11-02,12,11,0
17,2019-11-02,13,11,0
18,2019-11-02,14,11,0
21,2019-11-02,15,11,0
33,2019-11-02,16,11,0
36,2019-11-02,17,11,0
15,2019-11-02,18,11,0
7,2019-11-02,19,11,0
11,2019-11-02,20,11,0
12,2019-11-02,21,11,0
15,2019-11-02,22,11,0
16,2019-11-02,23,11,0
21,2019-11-09,12,11,0
18,2019-11-09,13,11,0
18,2019-11-09,14,11,0
18,2019-11-09,15,11,0
15,2019-11-09,16,11,0
9,2019-11-09,17,11,0
7,2019-11-09,18,11,0
12,2019-11-09,19,11,0
16,2019-11-09,20,11,0
14,2019-11-09,21,11,0
15,2019-11-09,22,11,0
10,2019-11-09,23,11,0
17,2019-11-16,12,11,1
19,2019-11-16,13,11,1
11,2019-11-16,14,11,1
9,2019-11-16,15,11,1
23,2019-11-16,16,11,1
28,2019-11-16,17,11,1
34,2019-11-16,18,11,1
19,2019-11-16,19,11,1
20,2019-11-16,20,11,1
14,2019-11-16,21,11,1
16,2019-11-16,22,11,1
23,2019-11-16,23,11,1
20,2019-11-23,12,11,1
11,2019-11-23,13,11,1
13,2019-11-23,14,11,1
18,2019-11-23,15,11,1
18,2019-11-23,16,11,1
10,2019-11-23,17,11,1
15,2019-11-23,18,11,1
14,2019-11-23,19,11,1
8,2019-11-23,20,11,1
13,2019-11-23,21,11,1
29,2019-11-23,22,11,1
14,2019-11-23,23,11,1
14,2019-11-30,12,11,0
18,2019-11-30,13,11,0
9,2019-11-30,14,11,0
20,2019-11-30,15,11,0
27,2019-11-30,16,11,0
16,2019-11-30,17,11,0
6,2019-11-30,18,11,0
11,2019-11-30,19,11,0
10,2019-11-30,20,11,0
8,2019-11-30,21,11,0
7,2019-11-30,22,11,0
12,2019-11-30,23,11,0
19,2019-12-07,12,12,0
16,2019-12-07,13,12,0
13,2019-12-07,14,12,0
11,2019-12-07,15,12,0
11,2019-12-07,16,12,0
14,2019-12-07,17,12,0
16,2019-12-07,18,12,0
11,2019-12-07,19,12,0
